batsman,total_runs,total_innings
Mohammad Shahzad,69,4
Javed Ahmadi,105,4
Rahmat Shah,298,8
Afsar Zazai,135,6
Hashmatullah Shahidi,138,6
Asghar Stanikzai,249,7
Mohammad Nabi,33,6
Rashid Khan,106,7
Yamin Ahmadzai,31,7
Mujeeb Ur Rahman,18,2
Wafadar Momand,12,3
Ihsanullah,110,6
Ikram Alikhil,7,1
Waqar Salamkheil,1,1
Ibrahim Zadran,148,4
Nasir Jamal,17,2
Amir Hamza,35,2
Zahir Khan,0,4
Qais Ahmad,23,2
DA Warner,7082,153
SE Marsh,2265,68
UT Khawaja,2887,77
SPD Smith,7150,129
AC Voges,1485,31
MR Marsh,1230,53
PM Nevill,468,23
MA Starc,1515,85
PM Siddle,1149,92
JR Hazlewood,402,62
NM Lyon,1027,121
JA Burns,1379,36
CJ Ferguson,4,2
JM Mennie,10,2
MT Renshaw,636,20
PSP Handscomb,934,29
NJ Maddinson,27,4
MS Wade,1440,55
JM Bird,43,9
HWR Cartwright,55,2
SNJ O'Keefe,80,11
GJ Maxwell,339,14
PJ Cummins,647,44
CT Bancroft,446,18
TD Paine,1330,50
CJ Sayers,0,2
AC Agar,195,7
AJ Finch,278,10
MS Harris,385,17
TM Head,1091,28
M Labuschagne,1459,23
KR Patterson,144,2
JA Richardson,1,1
JL Pattinson,417,25
JM Holland,6,7
AJ Healy,119,4
NE Bolton,67,3
MM Lanning,165,6
EA Perry,241,5
RL Haynes,121,4
BL Mooney,76,2
JL Jonassen,198,4
S Molineux,62,2
A Gardner,12,2
PA Jaques,371,11
ML Hayden,622,20
RT Ponting,3863,99
MEK Hussey,4301,106
MJ Clarke,6817,151
A Symonds,762,18
AC Gilchrist,92,5
GB Hogg,96,3
B Lee,342,23
MG Johnson,1952,106
SR Clark,111,15
CJL Rogers,1934,46
SW Tait,12,2
SM Katich,2928,61
BJ Hodge,94,2
BJ Haddin,3244,110
SCG MacGill,2,2
B Casson,10,1
SR Watson,3650,105
CL White,146,7
JJ Krejza,71,4
PJ Hughes,1535,49
MJ North,1171,35
NM Hauritz,411,22
BW Hilfenhaus,355,38
GA Manou,21,2
AB McDonald,107,6
BE McGain,2,2
DE Bollinger,54,14
CJ McKay,10,1
RJ Harris,603,39
XJ Doherty,51,7
MA Beer,6,3
PR George,2,2
TA Copeland,39,4
EJM Cowan,1001,32
JP Faulkner,45,2
RJ Quiney,9,3
JW Hastings,52,2
GJ Bailey,183,8
SJ Elliott,114,2
JE Cameron,74,2
AJ Blackwell,130,4
JM Fields,84,2
EA Osborne,38,2
MC Henriques,164,8
AJ Doolan,186,6
EJ Villani,33,2
SJ Coyte,3,1
ML Schutt,11,1
KM Beams,26,1
HL Ferling,0,1
Tamim Iqbal,4273,109
Imrul Kayes,1751,74
Mominul Haque,2859,72
Mahmudullah,2749,91
Shakib Al Hasan,3556,94
Mushfiqur Rahim,4096,116
Sabbir Rahman,481,22
Mehedi Hasan Miraz,635,40
Taskin Ahmed,68,10
Kamrul Islam Rabbi,44,12
Subashis Roy,14,6
Soumya Sarkar,818,28
Nazmul Hossain Shanto,201,7
Nurul Hasan,47,4
Rubel Hossain,243,45
Shafiul Islam,211,21
Taijul Islam,412,48
Shuvagata Hom,244,15
Liton Das,832,32
Mustafizur Rahman,56,19
Mosaddek Hossain,164,6
Nasir Hossain,1044,32
Sunzamul Islam,24,1
Abdur Razzak,200,16
Abu Jayed,25,14
Mohammad Mithun,308,16
Nayeem Hasan,70,6
Shadman Islam,275,11
Ariful Haque,88,4
Nazmul Islam,4,2
Khaled Ahmed,4,2
Ebadat Hossain,4,10
Al-Amin Hossain,90,11
Saif Hassan,24,3
Junaid Siddique,897,33
Habibul Bashar,73,6
Mohammad Ashraful,821,41
Shahriar Nafees,660,26
Aftab Ahmed,187,11
Mashrafe Mortaza,294,17
Shahadat Hossain,420,44
Enamul Haque jnr,31,7
Sajedul Islam,18,6
Mohammad Rafique,24,4
Mehrab Hossain jnr,88,7
Naeem Islam,383,13
Mahbubul Alam,3,4
Raqibul Hasan,301,16
Rajin Saleh,0,1
Jahurul Islam,347,14
Robiul Islam,99,17
Elias Sunny,38,6
Suhrawadi Shuvo,15,2
Nazimuddin,125,6
Nazmul Hossain,8,2
Sohag Gazi,325,16
Abul Hasan,165,5
Anamul Haque,73,8
Ziaur Rahman,14,2
Marshall Ayub,125,6
Shamsur Rahman,305,12
Jubair Hossain,13,5
Mohammad Shahid,57,6
AN Cook,10536,246
BM Duckett,110,7
JE Root,7823,177
GS Ballance,1498,42
MM Ali,2782,104
BA Stokes,4428,122
JM Bairstow,4030,123
CR Woakes,1321,60
AU Rashid,540,33
SCJ Broad,3333,206
GJ Batty,5,4
ZS Ansari,49,5
ST Finn,279,47
KK Jennings,781,32
LA Dawson,84,6
MA Wood,399,28
JM Anderson,1074,186
T Westley,193,9
DJ Malan,724,26
TS Roland-Jones,82,6
MD Stoneman,526,20
H Hameed,219,6
JC Buttler,2543,82
JT Ball,67,8
JM Vince,548,22
C Overton,124,8
TK Curran,66,3
MS Crane,6,2
MJ Leach,220,18
DM Bess,223,13
SM Curran,728,31
OJ Pope,645,20
RJ Burns,1233,38
BT Foakes,332,10
JJ Roy,187,10
JL Denly,827,28
OP Stone,19,2
JC Archer,139,16
AE Jones,64,1
TT Beaumont,25,4
HC Knight,209,7
GA Elwiss,72,3
NR Sciver,138,5
SJ Taylor,146,7
KH Brunt,64,4
A Shrubsole,35,6
LA Marsh,83,4
S Ecclestone,9,1
DP Sibley,686,19
Z Crawley,581,12
AJ Strauss,3814,97
MP Vaughan,363,15
KP Pietersen,5157,118
IR Bell,5431,145
PD Collingwood,2078,58
TR Ambrose,447,16
RJ Sidebottom,142,16
MS Panesar,92,36
A Flintoff,464,20
DJ Pattinson,21,2
SJ Harmison,102,11
MJ Hoggard,6,2
RS Bopara,533,14
MJ Prior,3537,105
GP Swann,1370,76
G Onions,30,10
IJL Trott,3835,93
OA Shah,133,6
TT Bresnan,575,26
EJG Morgan,700,24
A Shahzad,5,1
MA Carberry,345,12
JC Tredwell,45,2
CT Tremlett,63,10
SR Patel,151,9
JWA Taylor,312,13
NRD Compton,775,30
SC Kerrigan,1,1
SG Borthwick,5,2
WB Rankin,43,6
A Brindle,25,2
CM Edwards,81,6
LS Greenway,51,5
JL Gunn,75,3
D Hazell,9,1
SD Robson,336,11
LE Plunkett,112,7
CJ Jordan,180,11
L Winfield,56,4
SB Odedra,2,2
KL Cross,12,4
A Lyth,265,13
AD Hales,573,21
M Vijay,3982,105
S Dhawan,2315,58
CA Pujara,5840,128
V Kohli,7240,145
AM Rahane,4203,109
R Ashwin,2389,98
WP Saha,1238,50
A Mishra,648,32
Mohammed Shami,497,64
KL Rahul,2006,60
UT Yadav,340,52
RG Sharma,2141,53
RA Jadeja,1869,71
B Kumar,552,29
I Sharma,721,128
G Gambhir,3462,81
J Yadav,228,6
PA Patel,265,10
KK Nair,374,7
A Mukund,320,14
Kuldeep Yadav,51,6
HH Pandya,532,18
KD Karthik,94,12
RR Pant,814,22
JJ Bumrah,32,21
GH Vihari,552,16
MA Agarwal,974,17
PP Shaw,335,7
SN Thakur,4,1
S Nadeem,1,1
W Jaffer,156,9
R Dravid,3584,87
VVS Laxman,3421,83
SR Tendulkar,4555,98
SC Ganguly,783,25
Yuvraj Singh,894,29
MS Dhoni,3702,107
A Kumble,231,17
Harbhajan Singh,1232,62
RP Singh,76,10
V Sehwag,4431,93
IK Pathan,147,6
S Sreesanth,114,23
PP Chawla,5,2
Z Khan,602,58
MM Patel,28,4
PP Ojha,89,27
S Badrinath,63,3
A Mithun,120,5
SK Raina,768,31
JD Unadkat,2,2
P Kumar,149,10
R Vinay Kumar,11,2
VR Aaron,35,14
STR Binny,194,10
Pankaj Singh,10,4
MDT Kamini,45,2
S Mandhana,73,2
PG Raut,16,2
M Raj,54,2
H Kaur,9,2
KV Jain,0,1
J Goswami,17,1
N Niranjana,27,1
S Pandey,31,2
S Sharma,4,1
E Bisht,0,1
KV Sharma,8,2
NV Ojha,56,2
EC Joyce,47,2
WTS Porterfield,58,6
A Balbirnie,146,6
NJ O'Brien,18,2
PR Stirling,104,6
KJ O'Brien,258,6
SR Thompson,64,6
TE Kane,14,2
GC Wilson,45,4
TJ Murtagh,109,6
JA McCollum,73,4
MR Adair,11,2
AR McBrine,18,4
SW Poynter,1,2
GH Dockrell,64,2
J Cameron-Dow,41,2
JA Raval,1143,39
TWM Latham,3726,92
KS Williamson,6476,140
LRPL Taylor,7108,169
HM Nicholls,1747,50
C de Grandhomme,1185,36
BJ Watling,3658,110
MJ Santner,741,29
TG Southee,1668,105
N Wagner,575,63
TA Boult,654,82
TD Astle,98,6
MJ Henry,224,16
JS Patel,352,35
JDS Neesham,709,22
NT Broom,32,3
MJ Guptill,2586,89
IS Sodhi,448,25
L Ronchi,319,8
MD Craig,589,25
TA Blundell,425,11
AY Patel,53,10
WER Somerville,72,6
LH Ferguson,1,2
GD Phillips,52,2
DJ Mitchell,73,1
KA Jamieson,93,2
JM How,503,19
AJ Redmond,227,14
JAH Marshall,52,4
BB McCullum,5125,128
DR Flynn,781,39
JDP Oram,510,16
DL Vettori,2013,61
KD Mills,134,13
CS Martin,71,56
IE O'Brien,186,24
GJ Hopkins,71,7
CD Cumming,47,3
MD Bell,245,9
PG Fulton,782,32
SP Fleming,398,8
MS Sinclair,187,10
MR Gillespie,60,5
GD Elliott,86,9
JD Ryder,1025,28
TG McIntosh,657,29
JEC Franklin,294,15
SE Bond,29,2
DR Tuffey,164,6
PJ Ingram,61,4
BJ Arnel,45,12
HK Bennett,4,1
AJ McKay,25,2
RA Young,169,10
DG Brownlie,711,25
DAJ Bracewell,568,45
RJ Nicol,28,4
CFK van Wyk,341,17
HD Rutherford,755,29
BP Martin,74,6
C Munro,15,2
CJ Anderson,683,22
Sami Aslam,758,25
Azhar Ali,6046,150
Babar Azam,2045,53
Younis Khan,5074,106
Misbah-ul-Haq,4482,113
Asad Shafiq,4571,127
Sarfraz Ahmed,2533,84
Wahab Riaz,306,41
Yasir Shah,768,61
Mohammad Amir,751,67
Rahat Ali,136,30
Sohail Khan,252,12
Sharjeel Khan,44,2
Imran Khan (2),16,9
Mohammad Rizwan,386,13
Mohammad Nawaz (3),50,4
Zulfiqar Babar,137,17
Ahmed Shehzad,848,23
Mohammad Abbas,100,29
Shadab Khan,300,11
Shan Masood,1368,43
Hasan Ali,155,15
Imam-ul-Haq,485,21
Haris Sohail,819,23
Faheem Ashraf,138,6
Usman Salahuddin,37,2
Fakhar Zaman,192,6
Shaheen Shah Afridi,56,16
Mohammad Hafeez,2975,83
Bilal Asif,73,8
Mir Hamza,4,2
Iftikhar Ahmed,48,5
Naseem Shah,15,8
Muhammad Musa,16,2
Abid Ali,460,9
Fawad Alam,271,9
Khurram Manzoor,817,30
Salman Butt,842,26
Shoaib Malik,822,25
Faisal Iqbal,227,7
Kamran Akmal,704,27
Yasir Arafat,50,1
Abdur Rauf,52,6
Mohammad Yousuf,760,22
Umar Gul,441,47
Saeed Ajmal,451,53
Danish Kaneria,100,15
Imran Farhat,745,26
Umar Akmal,1003,30
Mohammad Asif,81,22
Mohammad Sami,29,5
Umar Amin,99,8
Shahid Afridi,33,2
Zulqarnain Haider,88,2
Yasir Hameed,41,4
Taufeeq Umar,1234,37
Adnan Akmal,591,29
Abdur Rehman,361,28
Tanvir Ahmed (1),170,7
Mohammad Salman,25,4
Junaid Khan,122,28
Aizaz Cheema,1,5
Mohammad Ayub,47,2
Nasir Jamshed,51,4
Mohammad Irfan,28,7
Ehsan Adil,21,4
Bilawal Bhatti,70,3
Mohammad Talha,34,5
SC Cook,632,19
D Elgar,3888,110
HM Amla,8240,181
JP Duminy,2103,74
F du Plessis,3901,112
T Bavuma,1845,67
Q de Kock,2934,80
VD Philander,1779,94
KA Maharaj,643,48
K Rabada,606,64
DW Steyn,1093,96
KJ Abbott,95,14
T Shamsi,20,4
M Morkel,886,102
TB de Bruyn,428,23
HG Kuhn,113,8
CH Morris,173,7
D Olivier,26,12
AK Markram,1424,37
AL Phehlukwayo,19,4
AB de Villiers,6692,131
L Ngidi,15,9
Zubayr Hamza,181,10
PWA Mulder,14,2
HE van der Dussen,274,8
D Pretorius,83,6
A Nortje,89,12
PJ Malan,156,6
D Paterson,43,4
BE Hendricks,9,2
DL Piedt,131,12
S Muthusamy,98,4
H Klaasen,11,2
GF Linde,64,2
GC Smith,4683,100
ND McKenzie,1225,29
JH Kallis,4007,89
AG Prince,1641,48
MV Boucher,1510,54
PL Harris,374,34
M Ntini,79,24
A Nel,12,4
HH Gibbs,27,1
J Botha,63,5
RJ Peterson,305,14
M Zondeki,0,1
I Khan,20,1
JA Morkel,58,1
F de Wet,20,2
R McLaren,47,3
AN Petersen,2093,64
LL Tsotsobe,19,5
WD Parnell,67,4
JA Rudolph,594,20
Imran Tahir,130,23
M de Lange,9,2
RK Kleinveldt,27,5
S van Zyl,395,17
SR Harmer,58,6
DJ Vilas,94,9
GC Viljoen,26,2
FDM Karunaratne,4524,128
JK Silva,2099,74
MDKJ Perera,934,33
BKG Mendis,2995,85
WU Tharanga,1041,32
DM de Silva,1863,57
DAS Gunaratne,455,10
MDK Perera,1208,73
HMRKB Herath,1575,127
RAS Lakmal,836,95
CBRLS Kumara,52,28
LD Chandimal,3877,103
N Dickwella,1921,66
PADLR Sandakan,117,17
AD Mathews,5981,154
MD Gunathilaka,299,16
N Pradeep,132,50
PM Pushpakumara,102,8
MVT Fernando,54,12
HDRL Thirimanne,1404,68
S Samarawickrama,125,8
PLS Gamage,6,8
MD Shanaka,29,6
ARS Silva,702,23
A Dananjaya,135,10
ML Udawatte,23,4
CAK Rajitha,23,10
BOP Fernando,393,11
L Embuldeniya,56,9
PVD Chameera,69,15
C Karunaratne,22,2
MG Vandort,146,9
SM Warnapura,717,20
KC Sangakkara,6258,115
DPMD Jayawardene,4374,99
TT Samaraweera,3188,70
TM Dilshan,3195,76
HAPW Jayawardene,1632,62
WPUJC Vaas,222,12
T Thushara,70,12
LPC Silva,89,2
M Muralitharan,117,14
MKDI Amerasinghe,0,2
KMDN Kulasekara,276,21
BAW Mendis,213,19
KTGD Prasad,473,38
CK Kapugedera,197,4
CRD Fernando,65,9
NT Paranavitana,1792,60
UWMBCA Welegedara,218,30
SL Malinga,83,3
S Randiv,147,17
MF Maharoof,18,3
NLTC Perera,203,10
S Prasanna,5,1
RMS Eranga,193,26
CKB Kulasekara,22,2
KDK Vithanage,370,16
SMSM Senanayake,5,1
PHT Kaushal,106,12
J Mubarak,131,6
TAM Siriwardana,298,9
MDUS Jayasundera,30,4
KC Brathwaite,3551,117
R Chandrika,140,10
D Bishoo,688,60
DM Bravo,3506,98
MN Samuels,2718,82
J Blackwood,1573,55
RL Chase,1850,63
SO Dowrich,1566,61
JO Holder,1979,74
CR Brathwaite,181,5
ST Gabriel,199,70
ML Cummins,113,21
LR Johnson,403,16
AS Joseph,143,18
KOA Powell,1963,75
KA Hope,101,9
SD Hope,1536,63
KAJ Roach,872,94
SO Hetmyer,838,30
VA Singh,63,6
SW Ambris,166,12
RA Reifer,52,2
DS Smith,818,38
KMA Paul,96,6
JA Warrican,142,14
SH Lewis,24,4
JD Campbell,382,18
SSJ Brooks,369,11
JN Hamilton,5,2
RRS Cornwall,32,5
CH Gayle,2335,56
D Ganga,39,4
RS Morton,154,8
S Chanderpaul,4371,97
DJ Bravo,774,27
D Ramdin,2176,87
RN Lewis,1,2
JE Taylor,530,47
DBL Powell,156,18
FH Edwards,238,38
BA Parchment,55,4
DJG Sammy,1256,59
RR Sarwan,1519,32
RO Hinds,142,9
SJ Benn,482,37
S Chattergoon,76,4
AS Jaggernauth,0,2
XM Marshall,182,5
BP Nash,941,30
LMP Simmons,278,16
LS Baker,23,5
DM Richards,125,6
OJ Phillips,160,4
RA Austin,39,4
TM Dowlin,343,11
FL Reifer,48,4
DE Bernard,191,4
CAK Walton,13,4
NO Miller,5,2
TL Best,227,19
AB Barath,657,28
R Rampaul,335,31
N Deonarine,618,24
GC Tonge,25,2
S Shillingford,266,26
NT Pascal,12,2
BJ Bess,11,2
CS Baugh,414,26
AD Russell,2,1
KA Edwards,986,32
AB Fudadin,122,5
SP Narine,40,7
V Permaul,98,9
SS Cottrell,11,4
KK Peters,0,1
BB Chari,254,14
CJ Chibhabha,124,6
H Masakadza,1438,46
CR Ervine,1208,36
SC Williams,770,24
Sikandar Raza,1037,30
PS Masvaure,235,10
RW Chakabva,806,34
AG Cremer,511,26
DT Tiripano,299,20
MT Chinouya,1,4
TMK Mawoyo,615,22
PJ Moor,533,16
J Nyumbu,38,6
MN Waller,577,28
CT Mumba,25,5
CB Mpofu,88,16
TK Musakanda,6,2
BRM Taylor,1633,42
RP Burl,16,2
KM Jarvis,128,24
B Muzarabani,14,2
SF Mire,78,4
TS Chisoro,9,1
WP Masakadza,21,2
B Mavuta,9,4
TL Chatara,90,16
KT Kasuza,113,4
A Ndlovu,9,4
VM Nyauchi,30,5
BS Mudzinganyama,16,1
CT Mutombodzi,41,2
T Maruma,68,5
CK Tshuma,3,2
F Mutizwa,24,2
T Taibu,273,8
SW Masakadza,88,9
BV Vitori,52,7
V Sibanda,543,22
E Chigumbura,382,15
RW Price,37,8
GA Lamb,46,2
N Ncube,17,2
P Utseya,62,6
R Mutumbami,217,12
KO Meth,72,4
T Panyangara,73,12
MA Vermeulen,35,2
T Kamungozi,5,2
N M'shangwe,8,4
